,Commodity,Util,Value,Period,Group,Unit,Short Description,State,Year
43,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #31,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
44,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #32,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
45,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #33,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
46,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #34,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
47,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #35,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
48,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #36,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
49,APPLES,ALL UTILIZATION PRACTICES,1,WEEK #37,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
50,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #38,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, MEASURED IN PCT VERY POOR",NY,2017
51,APPLES,ALL UTILIZATION PRACTICES,5,WEEK #29,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
52,APPLES,ALL UTILIZATION PRACTICES,7,WEEK #30,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
53,APPLES,ALL UTILIZATION PRACTICES,7,WEEK #31,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
54,APPLES,ALL UTILIZATION PRACTICES,6,WEEK #32,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
55,APPLES,ALL UTILIZATION PRACTICES,7,WEEK #33,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
56,APPLES,ALL UTILIZATION PRACTICES,8,WEEK #34,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
57,APPLES,ALL UTILIZATION PRACTICES,6,WEEK #35,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
58,APPLES,ALL UTILIZATION PRACTICES,7,WEEK #36,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
59,APPLES,ALL UTILIZATION PRACTICES,7,WEEK #37,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
60,APPLES,ALL UTILIZATION PRACTICES,8,WEEK #38,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT",NY,2017
61,APPLES,ALL UTILIZATION PRACTICES,45,WEEK #29,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
62,APPLES,ALL UTILIZATION PRACTICES,43,WEEK #30,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
63,APPLES,ALL UTILIZATION PRACTICES,42,WEEK #31,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
64,APPLES,ALL UTILIZATION PRACTICES,44,WEEK #32,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
65,APPLES,ALL UTILIZATION PRACTICES,42,WEEK #33,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
66,APPLES,ALL UTILIZATION PRACTICES,41,WEEK #34,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
67,APPLES,ALL UTILIZATION PRACTICES,43,WEEK #35,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
68,APPLES,ALL UTILIZATION PRACTICES,41,WEEK #36,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
69,APPLES,ALL UTILIZATION PRACTICES,38,WEEK #37,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
70,APPLES,ALL UTILIZATION PRACTICES,42,WEEK #38,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT FAIR",NY,2017
71,APPLES,ALL UTILIZATION PRACTICES,32,WEEK #29,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
72,APPLES,ALL UTILIZATION PRACTICES,32,WEEK #30,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
73,APPLES,ALL UTILIZATION PRACTICES,37,WEEK #31,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
74,APPLES,ALL UTILIZATION PRACTICES,32,WEEK #32,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
75,APPLES,ALL UTILIZATION PRACTICES,32,WEEK #33,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
76,APPLES,ALL UTILIZATION PRACTICES,34,WEEK #34,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
77,APPLES,ALL UTILIZATION PRACTICES,28,WEEK #35,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
78,APPLES,ALL UTILIZATION PRACTICES,34,WEEK #36,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
79,APPLES,ALL UTILIZATION PRACTICES,33,WEEK #37,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
80,APPLES,ALL UTILIZATION PRACTICES,30,WEEK #38,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD",NY,2017
81,APPLES,ALL UTILIZATION PRACTICES,18,WEEK #29,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
82,APPLES,ALL UTILIZATION PRACTICES,18,WEEK #30,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
83,APPLES,ALL UTILIZATION PRACTICES,14,WEEK #31,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
84,APPLES,ALL UTILIZATION PRACTICES,18,WEEK #32,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
85,APPLES,ALL UTILIZATION PRACTICES,19,WEEK #33,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
86,APPLES,ALL UTILIZATION PRACTICES,17,WEEK #34,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
87,APPLES,ALL UTILIZATION PRACTICES,23,WEEK #35,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
88,APPLES,ALL UTILIZATION PRACTICES,18,WEEK #36,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
89,APPLES,ALL UTILIZATION PRACTICES,22,WEEK #37,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
90,APPLES,ALL UTILIZATION PRACTICES,20,WEEK #38,FRUIT & TREE NUTS,PCT POOR,"CONDITION, 5 YEAR AVG, MEASURED IN PCT POOR",NY,2017
91,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #29,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
92,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #30,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
93,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #31,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
94,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #32,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
95,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #33,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
96,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #34,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
97,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #35,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
98,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #36,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
99,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #37,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
100,APPLES,ALL UTILIZATION PRACTICES,1,WEEK #38,FRUIT & TREE NUTS,PCT EXCELLENT,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",NY,2017
101,APPLES,ALL UTILIZATION PRACTICES,43,WEEK #29,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
102,APPLES,ALL UTILIZATION PRACTICES,43,WEEK #30,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
103,APPLES,ALL UTILIZATION PRACTICES,44,WEEK #31,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
104,APPLES,ALL UTILIZATION PRACTICES,44,WEEK #32,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
105,APPLES,ALL UTILIZATION PRACTICES,44,WEEK #33,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
106,APPLES,ALL UTILIZATION PRACTICES,44,WEEK #34,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
107,APPLES,ALL UTILIZATION PRACTICES,44,WEEK #35,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
108,APPLES,ALL UTILIZATION PRACTICES,44,WEEK #36,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
109,APPLES,ALL UTILIZATION PRACTICES,44,WEEK #37,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
110,APPLES,ALL UTILIZATION PRACTICES,43,WEEK #38,FRUIT & TREE NUTS,PCT FAIR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT FAIR",NY,2017
111,APPLES,ALL UTILIZATION PRACTICES,17,WEEK #29,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
112,APPLES,ALL UTILIZATION PRACTICES,17,WEEK #30,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
113,APPLES,ALL UTILIZATION PRACTICES,17,WEEK #31,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
114,APPLES,ALL UTILIZATION PRACTICES,17,WEEK #32,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
115,APPLES,ALL UTILIZATION PRACTICES,17,WEEK #33,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
116,APPLES,ALL UTILIZATION PRACTICES,18,WEEK #34,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
117,APPLES,ALL UTILIZATION PRACTICES,18,WEEK #35,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
118,APPLES,ALL UTILIZATION PRACTICES,18,WEEK #36,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
119,APPLES,ALL UTILIZATION PRACTICES,19,WEEK #37,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
120,APPLES,ALL UTILIZATION PRACTICES,19,WEEK #38,FRUIT & TREE NUTS,PCT GOOD,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT GOOD",NY,2017
121,APPLES,ALL UTILIZATION PRACTICES,30,WEEK #29,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
122,APPLES,ALL UTILIZATION PRACTICES,30,WEEK #30,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
123,APPLES,ALL UTILIZATION PRACTICES,29,WEEK #31,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
124,APPLES,ALL UTILIZATION PRACTICES,29,WEEK #32,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
125,APPLES,ALL UTILIZATION PRACTICES,29,WEEK #33,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
126,APPLES,ALL UTILIZATION PRACTICES,29,WEEK #34,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
127,APPLES,ALL UTILIZATION PRACTICES,29,WEEK #35,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
128,APPLES,ALL UTILIZATION PRACTICES,29,WEEK #36,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
129,APPLES,ALL UTILIZATION PRACTICES,28,WEEK #37,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
130,APPLES,ALL UTILIZATION PRACTICES,28,WEEK #38,FRUIT & TREE NUTS,PCT POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT POOR",NY,2017
131,APPLES,ALL UTILIZATION PRACTICES,10,WEEK #29,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
132,APPLES,ALL UTILIZATION PRACTICES,10,WEEK #30,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
133,APPLES,ALL UTILIZATION PRACTICES,10,WEEK #31,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
134,APPLES,ALL UTILIZATION PRACTICES,10,WEEK #32,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
135,APPLES,ALL UTILIZATION PRACTICES,10,WEEK #33,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
136,APPLES,ALL UTILIZATION PRACTICES,9,WEEK #34,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
137,APPLES,ALL UTILIZATION PRACTICES,9,WEEK #35,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
138,APPLES,ALL UTILIZATION PRACTICES,9,WEEK #36,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
139,APPLES,ALL UTILIZATION PRACTICES,9,WEEK #37,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
140,APPLES,ALL UTILIZATION PRACTICES,9,WEEK #38,FRUIT & TREE NUTS,PCT VERY POOR,"CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",NY,2017
141,APPLES,ALL UTILIZATION PRACTICES,0.268,MARKETING YEAR,FRUIT & TREE NUTS,$ / LB,"PRICE RECEIVED, MEASURED IN $ / LB",NY,2017
142,APPLES,ALL UTILIZATION PRACTICES,"1,300,000,000",YEAR,FRUIT & TREE NUTS,LB,"PRODUCTION, MEASURED IN LB",NY,2017
143,APPLES,ALL UTILIZATION PRACTICES,0,WEEK #16,FRUIT & TREE NUTS,PCT FULL BLOOM,"PROGRESS, MEASURED IN PCT FULL BLOOM",NY,2017
144,APPLES,ALL UTILIZATION PRACTICES,15,WEEK #17,FRUIT & TREE NUTS,PCT FULL BLOOM,"PROGRESS, MEASURED IN PCT FULL BLOOM",NY,2017
145,APPLES,ALL UTILIZATION PRACTICES,26,WEEK #18,FRUIT & TREE NUTS,PCT FULL BLOOM,"PROGRESS, MEASURED IN PCT FULL BLOOM",NY,2017
146,APPLES,ALL UTILIZATION PRACTICES,35,WEEK #19,FRUIT & TREE NUTS,PCT FULL BLOOM,"PROGRESS, MEASURED IN PCT FULL BLOOM",NY,2017
147,APPLES,ALL UTILIZATION PRACTICES,71,WEEK #20,FRUIT & TREE NUTS,PCT FULL BLOOM,"PROGRESS, MEASURED IN PCT FULL BLOOM",NY,2017
148,APPLES,ALL UTILIZATION PRACTICES,75,WEEK #21,FRUIT & TREE NUTS,PCT FULL BLOOM,"PROGRESS, MEASURED IN PCT FULL BLOOM",NY,2017
149,APPLES,ALL UTILIZATION PRACTICES,96,WEEK #22,FRUIT & TREE NUTS,PCT FULL BLOOM,"PROGRESS, MEASURED IN PCT FULL BLOOM",NY,2017
150,APPLES,ALL UTILIZATION PRACTICES,8,WEEK #14,FRUIT & TREE NUTS,PCT GREEN TIP,"PROGRESS, MEASURED IN PCT GREEN TIP",NY,2017
151,APPLES,ALL UTILIZATION PRACTICES,21,WEEK #15,FRUIT & TREE NUTS,PCT GREEN TIP,"PROGRESS, MEASURED IN PCT GREEN TIP",NY,2017
